Ticker Symbol,Ticker Description
BZM,Blackrock Maryland Municipal Bond Trust is a closed-end management investment company. Its investment objective is to provide current income exempt from regular federal income taxes and Maryland personal income taxes.
BZQ,"The investment seeks daily investment results, before fees and expenses, that correspond to two times the inverse (-2x) of the daily performance of the MSCI Brazil 25/50 Index®.
 The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is a free-float-adjusted, market capitalization-weighted index that is designed to measure the equity market performance of the Brazilian market. The fund is non-diversified."
BZUN,"Baozun Inc provides its customers with end-to-end e-commerce solutions including the sales of apparel, home & electronic products, online store design, visual merchandising & marketing, online operations, customer service, warehousing & order fulfillment."
C,"Citigroup Inc is a financial-services company with business spanning more than 100 countries. Its core business is providing banking services, investment banking, cash management, and various other products and services."
CAAP,"Corporacion America Airports SA acquires, develops and operates airport concessions. The company is the largest private sector airport concession operator in the world based on the number of airports under management."
CAAS,"China Automotive Systems Inc through its subsidiary is in the business of supplying steering systems and components to China automotive industry. Its products include Steering systems, steering columns, steering oil pumps and steering hoses."
CABO,"Cable One Inc mainly provides broadband, voice, and video services. It derives revenue from the provision of broadband, voice, and video services to residential and business customers."
CAC,Camden National Corporation provides banking services and products to individuals and commercial customers. Its services also comprise treasury and investment banking solutions.
CACC,Credit Acceptance Corp is a consumer finance company that offers automobile dealers financing programs that enables them to sell vehicles to consumers regardless of their credit history.
CACI,CACI International Inc is a provider of information solutions and services to the U.S. government. Its segments include domestic operations and international operations.
CADC,"China Advanced Construction Materials Group Inc through its subsidiaries manufactures construction materials for large scale infrastructure, commercial and residential developments."
CADE,"Cadence Bancorp is a bank holding company and is the parent company of Cadence Bank, N.A. It offers broad range of banking and wealth management services to businesses, high net worth individuals, business owners and retail customers."
CAE,"CAE Inc and its subsidiaries design, manufacture and supply simulation equipment. It provides training and develop integrated training solutions for defence and security markets, commercial airlines, business aircraft operators and helicopter operators."
CAF,"Morgan Stanley China A Share Fund Inc is a non-diversified, closed-end management investment company. Its investment objective is to seek capital growth by investing assets in A-shares of companies listed on the Shanghai and Shenzhen Stock Exchanges."
CAG,"Conagra Brands Inc is in the business of trading and merchandising packaged food in a variety of categories and in various retail channels across frozen, refrigerated, and shelf-stable temperature classes in North America."
CAH,"Cardinal Health Inc is a healthcare services company. It provides services and products for hospital systems, pharmacies, ambulatory surgery centers, clinical laboratories and physician offices."
CAI,"CAI International Inc is a transportation finance and logistics company. It purchases equipment and then leases it to container shipping lines, freight forwarders and other transportation companies."
CAJ,"Canon Inc is a provider of business equipment. It manufactures office multi function devices, plain paper copying machines, laser printers, inkjet printers, cameras, diagnostic equipment and lithography equipment."
CAKE,"Cheesecake Factory Inc operates casual dining restaurants. It also operates bakery production facilities which produce desserts for its restaurants, international licenses and third-party bakery customers."
CAL,"Caleres Inc is a global footwear retailer and wholesaler. Its business activities include the operation of retail shoe stores and e-commerce websites as well as the design, sourcing and marketing of footwear for women and men."
CALA,Calithera Biosciences Inc is a clinical-stage biopharmaceutical company focused on discovering and developing novel small molecule drugs directed against tumor metabolism and tumor immunology targets for the treatment of cancer.
CALM,"Cal-Maine Foods Inc is a producer and marketer of shell eggs in the United States. The Company's main business is the production, grading, packaging, marketing and distribution of shell eggs."
CALX,Calix Inc provides broadband communications access systems and software. It delivers the wide variety of services to residential and business customers domestically and internationally.
CAMP,CalAmp Corp provides wireless communications solutions applications to customers. Its business activities are organized into its Wireless DataCom and Satellite business segments.
CAMT,"Camtek Ltd provides automated & technologically solutions enhancing production processes & increasing products yields, enabling & supporting customers technologies in semiconductor fabrication and in printed circuit industries."
CANE,"The investment seeks to have the daily changes in percentage terms of the shares’ NAV reflect the daily changes in percentage terms of a weighted average of the closing settlement prices for three futures contracts for sugar that are traded on ICE Futures US.
 The fund seeks to achieve its investment objective by investing under normal market conditions in Benchmark Component Futures Contracts or, in certain circumstances, in other Sugar Futures Contracts traded on ICE Futures or the New York Mercantile Exchange (“NYMEX”), or on foreign exchanges."
CANF,"Can Fite Biofarma Ltd is a clinical stage biopharmaceutical company. It develops orally bioavailable small molecule therapeutic products for the treatment of autoimmune-inflammatory, oncological and ophthalmic diseases."
CANG,
CAPL,"CrossAmerica Partners LP is engaged in the wholesale distribution of motor fuels, consisting of gasoline and diesel fuel. It also owns and leases real estate used in the retail distribution of motor fuels."
CAPR,Capricor Therapeutics Inc is a clinical stage biotechnology company developing products for the treatment of cardiovascular diseases with a focus on heart failure.
CAR,"Avis Budget Group Inc provides automotive vehicle rental and car sharing services. It offers various rental services under the Avis, Budget, and Zipcar brands. The firm has its own network of rental locations and licenses its brands to franchisees."
CARA,Cara Therapeutics Inc is an emerging biotechnology company. It is focused on developing and commercializing new chemical entities designed to alleviate pain and pruritus by selectively targeting kappa opioid receptors.
CARB,"Carbonite Inc provides data protection solutions including cloud, hybrid, and on-premise backup and restores, disaster recovery as a service and email archiving. It offers annual and multi-year cloud backup plans for multi-year subscriptions."
CARG,"CarGurus Inc is an online automotive marketplace connecting buyers and sellers of new and used cars. It operates online marketplaces in Canada, the United Kingdom, and Germany."
CARO,"Carolina Financial Corp is a US-based bank holding company. The bank's operating segment includes Community banking, mortgage banking and other. Generating, a majority of its revenue from the Community banking segment."
CARS,"Cars.com Inc is an online destination for buying and selling of new and used vehicles. The company also operates Auto.com, DealerRater.com, NewCars.com and PickupTrucks.com, websites directed towards different consumer segments."
CART,"Carolina Trust BancShares Inc is a bank holding company. The Company provides banking needs of individuals and businesses in Lincoln, Gaston, Rutherford, and Catawba Counties and surrounding areas."
CARV,"Carver Bancorp Inc through its banking subsidiary operates as a unitary savings and loan holding company. The Company is engaged in providing consumer and commercial banking services offering deposit products, including demand, savings and time deposits."
CARZ,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the NASDAQ OMX Global Auto Index(SM).
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in common stocks or in depositary receipts representing securities in the index. The index is designed to track the performance of the largest and most liquid companies engaged in manufacturing of automobiles. The fund is non-diversified."
CASA,"Casa Systems Inc provides software-centric infrastructure solutions that allow cable service providers to deliver voice, video and data services over a single platform at multi-gigabit speeds."
CASH,"Meta Financial Group Inc is a unitary savings and loan holding company. The Company is engaged in two core businesses namely, retail banking and Meta Payment Systems."
CASI,"CASI Pharmaceuticals Inc is engaged in research and development of biopharmaceutical products. It mainly focuses on acquisition, development and commercialization of innovative therapeutics addressing cancer and other unmet medical needs."
CASM,"CAS Medical Systems Inc is a medical technology company. The company develops, manufactures and markets non-invasive patient monitoring products that are vital to patient care. Its products include FORE-SIGHT and FORE-SIGHT ELITE brand."
CASS,"Cass Information Systems Inc provides payment and information processing services to large manufacturing, distribution and retail enterprises across the United States."
CASY,"Casey's General Stores Inc operates convenience stores under the Caseys General Store name in the United States. It provides self-service gasoline, grocery items, and processed foods such as pizza, donuts, and sandwiches."
CAT,"Caterpillar Inc caters to the farming industry in the United States. It manufactures construction & mining equipment, diesel & natural gas engines, industrial gas turbines and diesel-electric locomotives."
CATB,Catabasis Pharmaceuticals Inc is a clinical-stage biopharmaceutical company. The company's primary focus is on treatments for rare diseases.
CATC,"Cambridge Bancorp is a state chartered, federally registered bank. The bank offers a full range of commercial and consumer banking services through its network of full-service banking offices in Massachusetts."
CATM,"Cardtronics PLC provides convenient automated consumer financial services through its network of automated teller machines and multi-function financial services kiosks. The Company operates in the U.S., Europe and rest of the world."
CATO,Cato Corp is a fashion specialty retailer. The Company operates women's fashion specialty retail stores in the southeastern United States under two segment: the operation of a fashion specialty stores segment and a credit card segment.
CATS,"Catasys Inc is a healthcare services company, provides health services designed to assist health plans & employees to manage & treat their high cost substance dependence members through a network of healthcare providers & its employees."
CATY,"Cathay General Bancorp is a holding company for Cathay Bank, which offers various financial services for individuals, professionals, and small to medium-sized businesses in California. It provides loans, savings, time deposits, and others."
CAW,"CCA Industries Inc is engaged in the manufacturing and distribution of health, beauty aid and cosmeceutical products. Its brand and trademark names include Plus+White, Sudden Change, Nutra Nail and Power Gel, Gel Perfect, Bikini Zone, among others."
CB,"Chubb Ltd provides commercial and personal property and casualty insurance, personal accident and supplemental health insurance (A&H), reinsurance and life insurance to a diverse group of clients."
CBAN,"Colony Bankcorp Inc is a bank holding company. The company, through its subsidiary, provides traditional banking products and services to commercial and consumer customers in its markets."
CBAT,"CBAK Energy Technology Inc is engaged in the manufacture, commercialization and distribution of variety of standard and customized lithium ion (Li-ion) high power rechargeable batteries which are used in various applications."
CBAY,"CymaBay Therapeutics Inc is an American biotechnology enterprise. Its product candidates include Arhalofenate, MBX-8025, and MBX-2982, which are meant to combat serious metabolic diseases."
CBB,"Cincinnati Bell Inc provides wireline and wireless telecommunication services. It also provides technology solutions such as offering information technology, data center management, and other services to enterprises."
CBD,"Companhia Brasileira De Distribuicao is a Brazilian retail and distribution group. It operates in the food retailing, clothing, home appliances, electronics and other products segment through its chain of hypermarkets, supermarkets, and department stores."
CBFV,"CB Financial Services Inc, through its subsidiary Community Bank operates as a commercial bank offers residential & commercial real estate loans, industrial loans, consumer loans, as well as a variety of deposit products for individuals & businesses."
CBH,"AllianzGI Convert & Inc 2024 Target Term is a newly organized, diversified, limited-term closed-end management investment company. The Fund's investment objectives are to provide a high level of income and to returns."
CBIO,Catalyst Biosciences Inc focuses on developing novel medicines to address serious medical conditions for individuals in need of treatment options.
CBK,Christopher & Banks Corp is a retailer of women's apparel and accessories. The company through its wholly owned subsidiaries operates retail stores selling women's apparel and accessories in the United States.
CBL,"CBL & Associates Properties Inc is a real estate investment trust. It owns, develops, acquires, leases, manages, and operates regional shopping malls, open-air and mixed-use centers, community centers and office properties and outlet centers."
CBLI,"Cleveland BioLabs Inc is a biopharmaceutical company developing novel approaches to activate immune system & address medical needs. Its proprietary platform of toll-like immune receptor activators are used in radiation, oncology immunotherapy & vaccine."
CBLK,"Carbon Black Inc provides security solutions in the United States and internationally. Its security cloud platform captures, records, and analyzes unfiltered endpoint data."
CBM,Cambrex Corp is a biotechnology company focused on developing and commercializing new and generic therapeutics. It provides products and services that accelerate and improve the development and commercialization of new and generic therapeutics.
CBMB,
CBMG,Cellular Biomedicine Group Inc is a part of the healthcare sector. It is engaged in the development of new treatments for cancerous and degenerative diseases.
CBND,"The investment seeks investment results that, before fees and expenses, correspond generally to the price and yield performance of an index that tracks the Bloomberg Barclays US Corporate Bond Index.
 The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index or in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of the investment grade corporate bond market. It is non-diversified."
CBNK,
CBOE,"Cboe Global Markets Inc is an exchange holding company. It offers trading options on various market indexes, futures, U.S. and European equities, exchange-traded products, and multi-asset volatility products."
CBPO,"China Biologic Products Holdings Inc is a biopharmaceutical company engaged in the research, development, manufacturing and sales of plasma-based pharmaceutical products to hospitals and inoculation centers directly or through distributors in China."
CBPX,"Continental Building Products Inc is a manufacturer of gypsum wallboard and complementary finishing products. Geographically, its manufacturing facilities and sales efforts are concentrated in the eastern United States and eastern Canada."
CBRE,"CBRE Group Inc is a commercial real estate services and investment firm. It offers services including facilities management, property management, transaction management and strategic consulting."
CBRL,"Cracker Barrel Old Country Store Inc operates full-service restaurants in the United States. It offers home-style country cooking featuring many of its own recipes for breakfast, lunch, and dinner."
CBS,"CBS Corp is a media company. It operates businesses within the media and entertainment industries, including cable networks, content production and distribution, television and radio stations, Internet-based businesses, and consumer publishing."
CBS.A,"CBS Corp is a media company. It operates businesses within the media and entertainment industries, including cable networks, content production and distribution, television and radio stations, Internet-based businesses, and consumer publishing."
CBSH,"Commerce Bancshares Inc is engaged in banking business, providing a range of retail, corporate, investment, trust, and asset management products and services to individuals and businesses."
CBT,"Cabot Corp is a specialty chemicals and performance materials Company. The Company offers rubber and specialty grade carbon blacks, fumed metal oxides, inkjet colorants, aerogel, cesium formate drilling fluids and activated carbon."
CBTX,"CBTX Inc is a bank holding company that operates through its wholly-owned subsidiary, CommunityBank of Texas. It focuses on providing commercial banking solutions to small and mid-sized businesses and professionals."
CBU,"Community Bank System Inc is a provider of financial services. The company, in association with its subsidiaries offers community banking services to retail, commercial, and municipal customers."
CBZ,"CBIZ Inc through its subsidiaries, provides professional business services. Its business units have been aggregated into three practice groups: Financial Services, Benefits and Insurance Services and National Practices."
CC,"The Chemours Co is a chemical manufacturing company that produces and develops titanium technologies, fluoroproducts and chemical solutions. It also produces refrigerants and industrial resins."
CCA,MFS California Municipal Fund is a closed-end fund which seeks to earn high current income exempt from federal income tax and California personal income tax as well as capital appreciation.
CCB,
CCBG,"Capital City Bank Group Inc operates through its subsidiary Capital City Bank which provides traditional deposit and credit services, asset management, mortgage banking, merchant services, bank cards, data processing, and securities brokerage services."
CCC,
CCCL,"China Ceramics Co Ltd manufactures and sells ceramic tiles used for exterior siding and for interior flooring & design in buildings. Its product categories are: porcelain tiles, glazed tiles, glazed porcelain tiles, rustic tiles & polished glazed tiles."
CCD,"Calamos Dynamic Convertible and Income Fund is a diversified, closed-end management investment company. The Fund's investment objective is to provide total return through a combination of current income and capital appreciation."
CCEP,Coca-Cola European Partners PLC is a soft drinks manufacturer. It produces and markets non-alcoholic beverages in the European region.
CCF,"Chase Corp is a provider of industrial protective materials. Its products include tapes, laminates, sealants and coatings to be used as protective materials in the industrial segment and construction segment."
CCH,
CCI,"Crown Castle International Corp operates wireless tower communication sites in the United States. It owns, operates and leases shared wireless infrastructure, including towers and other structures. Site rental generates maximum revenue for the company."
CCIH,"ChinaCache International Holdings Ltd is a provider of Internet content and application delivery services in China. It provides a portfolio of services and solutions through its network to businesses, government agencies and other enterprises."
CCJ,"Cameco Corp is engaged in the exploration and the development, mining, refining, conversion, fabrication and trading of uranium for sale as fuel for generating electricity in nuclear power reactors in Canada and other countries."
CCK,"Crown Holdings Inc is one of the world's largest producer of metal packaging products. The company manufactures beverage cans, metal food cans, and closures as well as aerosol cans. It operates mainly in US and Europe."
CCL,"Carnival Corp is leisure travel company providing vacations to major cruise destinations across the world. It operates over 100 cruise ships brands including Carnival Cruise Lines, Holland America, Princess Cruise, Seabourn and fathom, and Cunard Line."
CCLP,"CSI Compressco LP provides compression services and equipment for natural gas and oil production, gathering, transportation, processing, and storage. It also sells standard and custom designed compressor packages and oilfield fluid pump systems."
CCM,Concord Medical Services Holdings Ltd owns and operates radiotherapy and diagnostic imaging centers in China. The company leases radiotherapy and diagnostic imaging equipment and provides management services to hospitals.
CCMP,"Cabot Microelectronics Corp is the supplier of polishing slurries & a growing polishing pad, used in the manufacture of integrated circuit devices within the semiconductor industry, in a process called chemical mechanical planarization."
CCNE,"CNB Financial Corp is a financial holding company. The company engaged in providing banking activities and services including checking, savings, and time deposit accounts, real estate, commercial, industrial, residential and consumer loans."
CCNI,"Command Center Inc operates in the manual labor segment of the staffing industry. It provides services to the customers in the areas of light industrial, hospitality and event services."
CCO,"Clear Channel Outdoor Holdings Inc is a outdoor advertising company. It is engaged in providing advertising opportunities through billboards, street furniture displays, transit displays and other out-of-home advertising displays to its clients."
CCOI,Cogent Communications Holdings Inc is an enterprise Internet service provider offering Internet access and data transport using Internet Protocol. It mainly serves the small and medium sized businesses around the world.
CCR,"CONSOL Coal Resources LP is engaged in the bituminous coal operations in Pennsylvania. It has ownership interest and management and control rights in CONSOL Energy's Pennsylvania mining complex including Bailey, Enlow Fork and Harvey."
CCRC,"China Customer Relations Centers Inc is a BPO service provider. It provides voice based BPO services to different industries such as E- commerce, telecommunications, financial services and manufacturing."
CCRN,"Cross Country Healthcare Inc provides healthcare staffing, recruiting, and workforce solutions. The company operates business across three segments and mainly offers nurse and allied staffing, travel nurse, and branch-based local nurse in the US."
CCS,"Century Communities Inc is engaged in the development, design, construction, marketing & sale of single-family attached & detached homes in metropolitan areas in Colorado, Austin & San Antonio, Texas, Houston, Texas, Las Vegas, Nevada & Atlanta, Georgia."
CCU,"United Breweries Co Inc is the largest producer of beer in Chile and the second- largest producer of beer in Argentina. The company also produces nonalcoholic beverages, wines, and spirits."
CCXI,"ChemoCentryx Inc is a biopharmaceutical company. It is engaged in discovering, developing and commercializing orally-administered therapeutics to treat autoimmune diseases, inflammatory disorders and cancer."
CDAY,"Ceridian HCM Holding Inc. is a software company. Its flagship cloud (Human capital management) HCM platform provides human resources, payroll, benefits, workforce management, and talent management capabilities in a single solution."
CDE,"Coeur Mining Inc is a silver, gold, and zinc producer. It has mines located in the United States, Mexico and Bolivia, a silver streaming interest in Australia and exploration projects in Mexico and Argentina."
CDEV,Centennial Resource Development Inc is an independent oil and natural gas company focused on the development and acquisition of unconventional oil and associated liquids-rich natural gas reserves in the Permian Basin.
CDK,"CDK Global Inc provides integrated information technology and digital marketing solutions to the automotive retail industry. The Company offers their services to Auto, Truck, Motorcycle, Marine, Recreational Vehicle & Heavy Equipment dealers."
CDLX,Cardlytics Inc is an operator of purchase intelligence platform. It solution Cardlytics Direct enables marketers to deliver advertising content to FI customers in the form of an opportunity to earn rewards.
CDMO,Avid Bioservices Inc is engaged in development and cGMP manufacturing of biopharmaceutical products derived from mammalian cell culture.
CDNA,"CareDx Inc is a commercial stage company. It develops, markets and delivers a diagnostic surveillance solution for heart transplant recipients to help clinicians make personalized treatment decisions throughout a transplant patient's lifetime."
CDNS,"Cadence Design Systems Inc develops system design enablement solutions that are used to design whole electronics systems, complex integrated circuits, and electronic devices. The firm provides maintenance services for its software, hardware, and others."
CDOR,"Condor Hospitality Trust Inc is a self-administered real estate investment trust. The company is engaged in the investment and ownership of high quality select service, limited service, extended stay, and compact full service hotels."
CDR,"Cedar Realty Trust Inc is a real estate investment trust. It owns, acquires, develops, redevelops, and manages grocery and drugstore anchored community shopping centers. The company generates revenue in the form of rent."
CDTX,"Cidara Therapeutics Inc mainly develops anti-infective drugs in the United States. It attends to serious fungal infections through its drug candidates and proprietary immunotherapy technology platform, Cloudbreak."
CDW,"CDW Corp provides IT solutions to small, medium and large business, government, education and healthcare customers in the U.S. and Canada, and the UK. Its offerings include mobility, security, and data center optimization."
CDXC,"ChromaDex Corp is a natural products company. The company discovers, acquires, develops and commercializes patented and proprietary ingredient technologies that address the dietary supplement, food, beverage, skincare and pharmaceutical markets."
CDXS,Codexis Inc is a biotech company. It develops proprietary biocatalysts-enzymes or microbes that initiate or accelerate chemical reactions. It offers its products to the pharmaceutical industry. The company also develops advanced biofuels.
CDZI,"Cadiz Inc US based company, acquires and develops land with water resources for various uses, including groundwater supply, groundwater storage and agriculture."
CE,Celanese Corp is a chemical producer. It focus is to produce industrial specialties and acetyl which are used in various end markets including coatings and adhesives. It also produces cellulose derivatives.
CEA,"China Eastern Airlines Corp Ltd is an air carrier operating in China. The Company and its subsidiaries are engaged in the operation of civil aviation, including the provision of domestic, regional and international passenger airline services."
CECE,"CECO Environmental Corp along with its subsidiaries, is an environmental technology company providing air pollution control products and services."
CECO,"Career Education Corp is associated with the education industry. Its universities offer doctoral, master's, bachelor's and associate degrees, as well as diplomas and certificates."
CEE,Central Europe & Russia Fund Inc is a closed end management investment company. Its objective is high current income and its secondary objective is capital appreciation.
CEF,Central Fund of Canada Ltd is an investment company. Its aims to invest the shareholder's funds in long-term holdings of gold and silver bullion for capital appreciation.
CEI,Camber Energy Inc is an independent oil and gas company. It is engaged in the development of crude oil and natural gas in Texas and Oklahoma.
CEIX,CONSOL Energy Inc is a Canonsburg-based producer and exporter of high-BTU bituminous thermal coal. It owns and operates longwall mining operations in the nation and export terminals on the Eastern seaboard.
CEL,Cellcom Israel Ltd provides wireless service in Israel. It offers basic voice services and data services such as web browsing and music downloads. It is also developing a next-generation wireless service that supports higher data capacity.
CELC,Celcuity Inc is a cellular analysis company. The company is discovering new cancer sub-types and commercializing diagnostic tests.
CELG,"Celgene Corp is a biotech company that discovers, develops, and commercializes therapies designed to treat cancer and immune-inflammatory related diseases. Its registered brands are Abraxane, Istodax, Otezla, Pomalyst, Revlimid, Thalomid, Vidaza."
CELH,"Celsius Holdings Inc is engaged in the development, marketing, sale and distribution of functional calorie-burning fitness beverages under the Celsius brand name."
CELP,Cypress Energy Partners LP provides saltwater disposal and other water and environmental services to U.S. onshore oil and natural gas producers and trucking companies.
CEM,"Legg Mason Partners Fund Advisor, LLC acts as an investment adviser for each funds or master funds of Legg Mason."
CEMI,"Chembio Diagnostics Inc develops, manufactures, and commercializes point of care diagnostic tests that detect infectious diseases. Its products are rapid tests for the detection of HIV 1/2 antibodies, and for the detection of HIV and Syphilis antibodies."
CEN,Center Coast MLP & Infrastructure Fund is a closed end management investment company. Its objective is to provide a high level of total return with an emphasis on distributions to shareholders.
CENT,Central Garden & Pet Co is a marketer and producer of branded products and distributor of third-party products in the pet and lawn and garden supplies industries in the United States.
CENTA,Central Garden & Pet Co is a marketer and producer of branded products and distributor of third-party products in the pet and lawn and garden supplies industries in the United States.
CENX,"Century Aluminum Co is engaged in producing aluminum. It produces high purity aluminum, standard grade aluminum sow and tee bars, and value-added billet and foundry products which are traded internationally."
CEO,"CNOOC Ltd is an oil and gas company. It is engaged in the exploration, development, production and sale of crude oil, natural gas and other petroleum products."
CEPU,Central Puerto SA is a private sector power generation company in Argentina. The company is engaged in electric power generation and commercialization. The company's operating segments are Production of electric power and Natural gas distribution.
CEQP,"Crestwood Equity Partners LP develops, acquires, owns or controls, and operates fee-based assets and operations within the energy midstream sector."
CERC,Cerecor Inc is a clinical stage biopharmaceutical company which is engaged in developing drug candidates for patients with neurological and psychiatric disorders. The company owns a right to COMTi platform.
CERN,"Cerner Corp is a supplier of healthcare information technology and offers software, professional services, medical device integration, remote hosting and employer health, and wellness services. The Domestic segment generates maximum revenue."
CERS,Cerus Corp is a biomedical products company. It is engaged in developing and commercializing the INTERCEPT Blood System to enhance blood safety.
CET,Central Securities Corp is a closed-end management investment company. Its investment objective is the long-term growth of capital.
CETV,Central European Media Enterprises Ltd is a media and entertainment company. It develops and operates television channels and stations in Central and Eastern Europe.
CETX,"Cemtrex Inc is a diversified technology company. The Company provides electronic manufacturing services of electronic system assemblies, instruments and emission monitors for industrial processes, industrial air filtration & environmental control systems."
CEV,Eaton Vance CA Muni Income Trust is a non-diversified closed-end investment company. The company's investment objective is to provide current income exempt from regular federal income tax and taxes in its specified state.
CEVA,"CEVA Inc is a licensor of cellular, multimedia and connectivity technologies to semiconductor companies and OEMs serving the mobile, consumer, automotive and Internet of things markets."
CEW,"The investment seeks to achieve total returns reflective of both money market rates in selected emerging market countries available to foreign investors and changes to the value of these currencies relative to the U.S. dollar.
 The fund will invest, under normal circumstances, at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in investments whose combined performance is tied economically to selected emerging market countries. It generally will maintain a weighted average portfolio maturity of 90 days or less with respect to the money market securities in its portfolio. The fund is non-diversified."
CF,"CF Industries Holdings Inc is a leading producer and distributor of nitrogen fertilizers. The company operates various nitrogen facilities in America UK, and Canada. It primarily serves the international agriculture sector."
CFBI,"Community First Bancshares Inc operates as a mutual holding company which offers personal and commercial banking services. It offers savings accounts, credit card, mortgage, commercial and consumer loans, money transfers and other banking services."
CFBK,Central Federal Corp is a financial holding company for CFBank. The company through its subsidiary offers a variety of financial services including residential lending and full service retail banking services and products.
CFFI,"C&F Financial Corp through its subsidiaries offers banking and related financial services to both individuals and businesses. It operates in three business activities: Retail Banking, Mortgage Banking and Consumer Finance."
CFFN,"Capitol Federal Financial Inc is a financial services company operating through its subsidiary. It offers construction loans and other consumer loans and retail deposit accounts, including checking, savings, money market, IRA and certificates of deposit."
CFG,Citizens Financial Group Inc is a retail bank holding company. It provides retail and commercial banking products and services. Its business segments include Consumer Banking and Commercial Banking.
CFMS,"Conformis Inc is a medical technology company which uses iFit Image-to-Implant technology platform to develop, manufacture and sells joint replacement implants that are individually sized and shaped to fit each patient's unique anatomy."
CFR,"Cullen/Frost Bankers Inc is a financial holding company and a bank holding company. It provides a range of products and services throughout Texas markets, with a concentration on the major metropolitan areas."
CFRX,"ContraFect Corp is a biotechnology company engaged in the development of protein and antibody therapeutic products for life-threatening infectious diseases. The Company's product candidates are CF-301, CF-404."
CFX,Colfax Corp is an industrial manufacturing and engineering company. The company provides gas and fluid handling and fabrication services to customers around the world. It also produces equipment and fillers for welding and cutting applications.
CG,"The Carlyle Group LP is a global alternative asset management firm. It operates business across, Corporate Private Equity, Global Credit, Real Assets, and Investment Solutions segments."
CGA,"China Green Agriculture Inc is engaged in the research, development, production, and sale of fertilizers and distribution of agricultural products in the People's Republic of China. Its fertilizer business is the major revenue driver for the firm."
CGBD,"TCG BDC Inc is an externally managed, non-diversified closed-end investment company. Its objective is to generate current income and capital appreciation primarily through debt investments in U.S. middle market companies."
CGC,"Canopy Growth Corp through its subsidiaries is the licensed producer of medical marijuana in Canada. The company grows, produces and sells medical marijuana. It sells medical marijuana under various brand names including Tweed, Bedrocan, and Mettrum."
CGEN,Compugen Ltd is a therapeutic discovery company. The Company's pipeline consists of early-stage immuno-oncology programs aimed at harnessing the immune system to fight cancer.
CGIX,"Cancer Genetics Inc is an early-stage diagnostics company which develops, commercializes and provides molecular- and biomarker-based tests and services that enable physicians to personalize the clinical management of each individual patient."
CGNX,Cognex Corp is a provider of machine vision products that capture and analyze visual information in order to automate tasks in manufacturing processes. Its products are used to automate the manufacture and tracking of discrete items.
CGO,Calamos Global Total Return Fund is a closed-end management investment company. Its investment objective is to provide total return through a combination of capital appreciation and current income.
CGW,"The investment seeks to track the investment results (before fees and expenses) of the S&P Global Water Index (the ""underlying index"").
 The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index, as well as ADRs and GDRs that represent securities in the underlying index. Strictly in accordance with its guidelines and mandated procedures, the index provider compiles, maintains, and calculates the underlying index, which is designed to measure the performance of approximately 50 of the largest global companies in water-related businesses. The fund is non-diversified."
CHA,"China Telecom Corp Ltd offers a range of wireline and mobile telecommunications services including wireline voice, mobile voice, the Internet, telecommunications network resource services, value-added services, and other related services."
CHAP,"Chaparral Energy Inc. is an independent oil and natural gas company engaged in the production, exploitation, and acquisition of oil and natural gas properties. It generates a majority of its revenue from Natural gas (MMcf)."
CHCI,"Comstock Holding Co Inc is a multi-faceted real estate development and construction service company. It operates in three segments namely Homebuilding, Multi-family and Real Estate services segment."
CHCO,"City Holding Co, through its subsidiary, provides banking, trust and investment management and other financial solutions. It provides commercial banking, consumer banking, mortgage banking and wealth management and trust services."
CHCT,Community Healthcare Trust Inc is a real estate investment trust focusing on healthcare facilities in the United States. It leases its properties to hospitals or other healthcare service providers.
CHD,"Church & Dwight Co Inc is engaged in the household products industry. It manufactures and markets personal care products under brands like Oxiclean, Spinbrush, First Response and Trojan."
CHDN,"Churchill Downs Inc is a gambling company operating the Churchill Downs racetrack. The reportable business segments are racing, casinos, twin spires, corporate, and other investments."
CHE,"Chemed Corp through its subsidiaries, provides hospice and palliative care services to its patients through a network of physicians, registered nurses, home health aides, social workers, clergy and volunteers and also plumbing and drain cleaning services."
CHEF,"The Chefs' Warehouse Inc is a distributor of specialty food products in the United States and Canada. It operates in one reportable segment, Food Product Distribution, which is concentrated on the East and West Coasts of the United States."
CHEK,Check-Cap Ltd is a clinical stage medical diagnostics company engaged in the development of an ingestible imaging capsule that utilizes low-dose X-rays for CRC screening.
CHEP,"The investment seeks performance results that correspond to the price and yield performance, before fees and expenses, of the Dow Jones U.S. Thematic Market Neutral Value Index.
 The fund invests at least 80% of its net assets in common stock of the long positions in the underlying index and sells short at least 80% of the short positions in the underlying index. The index is a long/short market neutral index that is dollar-neutral. As such, it identifies long and short securities positions of approximately equal dollar amounts. In choosing to track a market neutral index, the fund seeks to limit the effects of general market movements on the fund."
CHFC,"Chemical Financial Corp is a financial services provider. The firm conducts its business of commercial banking through its primary subsidiary, Chemical Bank, which offers banking and fiduciary products."
